Fall 2014 courses|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty First Name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
ACCTG-110-A|2||Intro to Accounting|Amy|Wrightsman|OLIN|208|08:00AM|09:30AM|TR|First 7 weeks
ACCTG-110-B|2||Intro to Accounting|Amy|Wrightsman|OLIN|208|08:00AM|09:30AM|TR|Second 7 weeks
ACCTG-150-A|4||Fundamentals of Accounting|Charles|Christianson|OLIN|207|08:00AM|09:00AM|MWF|
ACCTG-150-B|4||Fundamentals of Accounting|Charles|Christianson|OLIN|207|09:15AM|10:15AM|MWF|
ACCTG-150-C|4||Fundamentals of Accounting|||OLIN|208|01:30PM|02:30PM|MWF|
ACCTG-353-A|4||Intermediate Accounting I|Ramona|Nelson|OLIN|208|12:15PM|01:15PM|MWF|
ACCTG-358-A|4||Managerial Cost Accounting|||OLIN|208|09:15AM|10:15AM|MWF|
ACCTG-358-B|4||Managerial Cost Accounting|||OLIN|208|11:00AM|12:00PM|MWF|
ACCTG-365-A|4||Advanced Accounting|Charles|Christianson|OLIN|208|11:00AM|12:30PM|TR|
ACCTG-380-A|1|4|Internship|Ramona|Nelson|ARR|ARR||||
ACCTG-467-A|4||Auditing & Assurance Services|Ramona|Nelson|OLIN|208|12:45PM|02:15PM|TR|
AFRS-135-A|4||African-American History|Lauren|Anderson|VALD|252|01:30PM|02:30PM|MWF|
AFRS-171-A|4||History of Africa to 1880|Richard|Mtisi|LOYA|10|12:15PM|01:15PM|MWF|
AFRS-251-A|4||African-American Literature|Novian|Whitsitt|LARS|120|11:00AM|12:00PM|MWF|
AFRS-271-A|4||African Diaspora|Richard|Mtisi|VALD|375|09:15AM|10:15AM|MWF|
AFRS-490-A|1|4|Senior Project|Richard|Mtisi|ARR|ARR||||
ANTH-101-A|4||Cultural Anthropology|Lori|Stanley|KORE|216|09:15AM|10:15AM|MWF|
ANTH-101-B|4||Cultural Anthropology|Lori|Stanley|VALD|345|11:00AM|12:00PM|MWF|
ANTH-101-C|4||Cultural Anthropology|Maryna|Bazylevych|KORE|218|02:30PM|04:00PM|TR|
ANTH-101-D|4||Cultural Anthropology|Anita|Carrasco|KORE|216|02:45PM|03:45PM|MWF|
ANTH-139-A|4||Music as Culture|||OLIN|B1|11:00AM|12:00PM|MWF|
ANTH-203-A|4||Environmental Anthropology|Anita|Carrasco|OLIN|209|11:00AM|12:00PM|MWF|
ANTH-205-A|4||Religion and Culture|Lori|Stanley|VALD|345|01:30PM|02:30PM|MWF|
ANTH-339-A|4||Writing Culture: Ethnology|Anita|Carrasco|KORE|218|12:45PM|02:15PM|TR|
ANTH-490-A|1|4|Senior Project|Colin|Betts,Carrasco,Bazylevych,Stanley|ARR|ARR||||
ART-103-A|2||Foundations:Circa NOW|Lea|Lovelace|CART|215|11:00AM|12:00PM|MWF|First 7 weeks
ART-104-A|4||Foundations:Visual Thinking|David|Kamm|CART|119|01:30PM|03:45PM|MW|
ART-104-B|4||Foundations:Visual Thinking|||CART|119|08:00AM|09:30AM|TR|
ART-108-A|4||Foundations: Drawing|||CART|203|08:00AM|10:15AM|MWF|
ART-108-B|4||Foundations: Drawing|Benjamin|Moore|CART|203|12:45PM|04:00PM|TR|
ART-110-A|4||Handbuilding with Clay|Joseph|Madrigal|CART|130A|08:00AM|09:30AM|TR|
||||||CART|130A|11:00AM|12:30PM|TR|
||||||CART|130B|08:00AM|09:30AM|TR|
||||||CART|130B|11:00AM|12:30PM|TR|
ART-111-A|4||Foundations:3-dimen Process|Joseph|Madrigal|STOR|SCULPT|08:00AM|10:15AM|MWF|
||||||CART|210|08:00AM|10:15AM|MWF|
ART-118-A|4||Beg Digital Photography|Aaron|Lurth|CART|118|12:45PM|04:00PM|TR|
ART-118-B|4||Beg Digital Photography|Aaron|Lurth|CART|118|12:45PM|04:00PM|TR|
ART-121-A|4||World Pottery|Joseph|Madrigal|CART|130A|12:15PM|02:30PM|MWF|
||||||CART|130B|12:15PM|02:30PM|MWF|
ART-121-B|4||World Pottery|Joseph|Madrigal|CART|130A|12:15PM|02:30PM|MWF|
||||||CART|130B|12:15PM|02:30PM|MWF|
ART-200-A|4||Painting|Benjamin|Moore|CART|204|08:00AM|09:30AM|TR|
||||||CART|204|11:00AM|12:30PM|TR|
ART-228-A|2||Art in the Elementary Schools|Lea|Lovelace|CART|215|11:00AM|12:30PM|TR|First 7 weeks
ART-251-A|4||Survey of Western Art I|Katherine|Elliott|MAIN|113|09:15AM|10:15AM|MWF|
ART-262-A|4||American Art|Katherine|Elliott|LOYA|10|02:45PM|03:45PM|MWF|
ART-300-A|4||Intermediate Painting|Benjamin|Moore|CART|204|08:00AM|09:30AM|TR|
||||||CART|204|11:00AM|12:30PM|TR|
ART-306-A|4||Intermedia Arts|||CART|210|11:00AM|12:00PM|MWF|
||||||CART|118|11:00AM|12:00PM|MWF|
ART-380-A|1|4|Internship|Katherine|Elliott|ARR|ARR||||
ART-384-A|1|4|Studio Projects|Joseph|Madrigal|ARR|ARR||||
ART-390-A|0||Junior Exhibition Seminar|Benjamin|Moore,Elliott,Kamm,Lovelace,Madrigal|CART|119|06:00PM|09:00PM|R|
ART-395-A|1|4|Independent Study|Joseph|Madrigal|ARR|ARR||||
ART-408-A|2||2D Workshop|Benjamin|Moore|CART|119|06:00PM|09:00PM|M|
ATHTR-265-A|4||Clin I: Intro to Athl Train|Kristen|Agena|REGE|221|11:00AM|12:30PM|TR|
ATHTR-365-A|4||Clin III:Spine,Low Ext,Postur|||REGE|221|12:45PM|02:15PM|TR|
ATHTR-465-A|4||Clin V:Health Care Admin|Brian|Solberg|REGE|221|08:00AM|09:30AM|TR|
||||||REGE|ATR|08:00AM|09:30AM|TR|
ATHTR-490-A|1||Senior Project|Ellen|Drewes-Stoen|ARR|ARR||||
BIO-115-A|4||Human Anatomy|Mary|Lewis,Fretham|VALD|206|11:00AM|12:30PM|TR|
BIO-115L-A01|0||Human Anatomy Lab|Stephanie|Fretham|SAMP|153|07:30AM|09:00AM|MW|
