SPRING SEMESTER 2014|||||||||||
|||||||||||
Section Name|Min Cred|Max Cred|Short Title|Faculty first name|Faculty Last Names (all faculty)|Building|Room|Start Time|End Time|Days|7 Wks
ACCTG-110-A|2||Intro to Accounting|Amy|Wrightsman|OLIN|208|08:00AM|09:30AM|TR|First 7 weeks
ACCTG-110-B|2||Intro to Accounting|Amy|Wrightsman|OLIN|208|08:00AM|09:30AM|TR|Second 7 weeks
ACCTG-150-A|4||Fundamentals of Accounting|Charles|Christianson|OLIN|207|08:00AM|09:00AM|MWF|
ACCTG-150-B|4||Fundamentals of Accounting|Charles|Christianson|OLIN|207|09:15AM|10:15AM|MWF|
ACCTG-150-C|4||Fundamentals of Accounting|Ramona|Nelson|OLIN|207|02:45PM|03:45PM|MWF|
ACCTG-250-A|4||Acctg for Decision Making|Craig|Rabe|OLIN|112|12:45PM|02:15PM|TR|
ACCTG-354-A|4||Intermediate Accounting II|Ramona|Nelson|OLIN|207|11:00AM|12:00PM|MWF|
ACCTG-468-A|4||Federal Income Taxation|Charles|Christianson|OLIN|209|12:15PM|01:15PM|MWF|
ACCTG-490-A|4||Senior Project|Ramona|Nelson|OLIN|209|11:00AM|12:30PM|TR|
AFRS-147-A|4||Lit of the African Peoples|Novian|Whitsitt|KORE|120|11:00AM|12:00PM|MWF|
AFRS-172-A|4||History of Modern Africa|Richard|Mtisi|KORE|218|11:00AM|12:30PM|TR|
AFRS-247-A|4||History of Jazz|Juan|Guzman|CART|217|11:00AM|12:00PM|MWF|
AFRS-371-A|4||Top Afr Hist:Nat S Afr Zimb|Richard|Mtisi|KORE|218|12:45PM|02:15PM|TR|
AFRS-490-A|1|4|Senior Project|Richard|Mtisi|ARR|ARR||||
ANTH-101-A|4||Cultural Anthropology|Lori|Stanley|KORE|120|08:00AM|09:00AM|MWF|
ANTH-101-B|4||Cultural Anthropology|Lori|Stanley|KORE|120|09:15AM|10:15AM|MWF|
ANTH-101-C|4||Cultural Anthropology|Anita|Carrasco|KORE|217|11:00AM|12:00PM|MWF|
ANTH-101-D|4||Cultural Anthropology|Anita|Carrasco|LARS|120|01:30PM|02:30PM|MWF|
ANTH-103-A|4||Linguistic Anthropology|Lori|Stanley|KORE|217|01:30PM|02:30PM|MWF|
ANTH-104-A|4||Archaeology|Colin|Betts|KORE|217|12:15PM|01:15PM|MWF|
ANTH-208-A|4||Medical Anthropology|Maryna|Bazylevych|LOYA|10|08:00AM|09:30AM|TR|
ANTH-239-A|4||ST:Women & Indigenous Rel|Evgenia|Fotiou|KORE|216|11:00AM|12:30PM|TR|
ANTH-339-A|4||ST:Reconstructing Prehist Tec|Colin|Betts|KORE|216|02:45PM|03:45PM|MWF|
ANTH-339-A|4||ST:Anth Globaliz Soc Chnge|Maryna|Bazylevych|LARS|120|02:30PM|04:00PM|TR|
ANTH-380-A|2|8|Internship|Anita|Carrasco|ARR|ARR||||
ANTH-401-A|4||Anthropological Theory|Anita|Carrasco|KORE|216|12:45PM|02:15PM|TR|
ANTH-490-A|1|4|Senior Project|Britt|Rhodes,Stanley,Betts,Carrasco,Bazylevych|ARR|ARR||||
ANTH-493-A|4||Senior Honors Project|Maryna|Bazylevych,Fotiou|ARR|ARR||||
ART-103-A|2||Foundations:Circa NOW|Katherine|Elliott|MAIN|113|11:00AM|12:00PM|MWF|First 7 weeks
ART-104-A|4||Foundations:Visual Thinking|Richard|Merritt|CART|119|08:00AM|09:30AM|MW|
ART-108-A|4||Drawing|Richard|Merritt|CART|203|01:30PM|03:30PM|MWF|
ART-109-A|4||Wheel-Throwing (majors)|Joseph|Madrigal|CART|130A|12:15PM|02:15PM|MWF|
||||||CART|130B|12:15PM|02:15PM|MWF|
ART-109-B|4||Wheel-Throwing (non-Majors)|Joseph|Madrigal|CART|130A|12:15PM|02:15PM|MWF|
||||||CART|130B|12:15PM|02:15PM|MWF|
ART-111-A|4||Sculpture|Joseph|Madrigal|CART|210|02:30PM|04:15PM|TR|
ART-118-A|4||Beg Digital Photography|Aaron|Lurth|CART|118|02:30PM|04:15PM|TR|
ART-139-A|4||ST:Cap Lndm:Art (Wash Cons)|||OC|OTHC||||
ART-200-A|4||Painting|Benjamin|Moore|CART|204|08:00AM|09:30AM|TR|
||||||CART|204|11:00AM|12:30PM|TR|
ART-202-A|4||Design Concepts|Richard|Merritt|CART|210|11:00AM|12:30PM|TR|
||||||CART|118|11:00AM|12:30PM|TR|
ART-205-A|4||Art and Technology|Richard|Merritt|ARR|ARR||||
ART-208-A|4||Life Drawing|Benjamin|Moore|CART|203|12:45PM|03:45PM|TR|
ART-209-A|4||Intermediate Ceramics|Joseph|Madrigal|CART|130A|12:15PM|02:15PM|TR|
||||||CART|130B|12:15PM|02:15PM|TR|
ART-216-A|4||Printmaking|David|Kamm|CART|119|02:30PM|04:15PM|TR|
||||||CART|120|02:30PM|04:15PM|TR|
ART-228-A|4||Art in the Elementary Schools|Lea|Lovelace|CART|215|11:00AM|12:30PM|TR|
ART-228-B|2||Art in the Elementary Schools|Lea|Lovelace|CART|215|12:45PM|02:15PM|TR|First 7 weeks
ART-252-A|4||Survey of Western Art II|Katherine|Elliott|OLIN|B1|09:15AM|10:15AM|MWF|
ART-295-A|1|4|Directed Study|Katherine|Elliott|ARR|ARR||||
ART-300-A|4||Intermediate Painting|Benjamin|Moore|CART|204|08:00AM|09:30AM|TR|
||||||CART|204|11:00AM|12:30PM|TR|
ART-316-A|4||Intermediate Printmaking|David|Kamm|CART|119|02:30PM|04:15PM|TR|
||||||CART|120|02:30PM|04:15PM|TR|
ART-368-A|4||Gender in Art|Katherine|Elliott|LOYA|10|12:45PM|02:15PM|TR|
ART-375-A|1|4|Directed Readings|Katherine|Elliott|ARR|ARR||||
ART-381-A|1|4|Internship|Katherine|Elliott|ARR|ARR||||
ART-395-A|1|4|Independent Study|Katherine|Elliott|ARR|ARR||||
ART-490-A|4||Senior Project|Benjamin|Moore,Elliott,Madrigal|CART|119|06:00PM|09:00PM|R|
ART-491-A|0||Senior Exhibition|Benjamin|Moore,Elliott,Madrigal|ARR|ARR||||
